L1,L2,L3,L4,LC_UNQ,L1-label,L2-label,L3_Label,L4_Label,L5_label,Text,details,L1_name,L2_name,L3_name,L4_name,UNQ_name,,CropNoCrop
60,50,59,59,59,,,tumbleweed,,,             tumbleweed,,LowVeg,Mixed_LowNo,tumbleweed,tumbleweed,tumbleweed,,98
60,60,60,60,60,LowVeg,,,,,LowVeg,,LowVeg,LowVeg_any,LowVeg_any,LowVeg_any,LowVeg_any,,98
60,66,66,66,66,,"non-grass herbaceous veg (e.g. ferns,forbs)",,,,"        non-grass herbaceous veg (e.g. ferns, forbs)",upland / not regularly flooded,LowVeg,LowVeg_nongrass,lowVeg_nongrass,lowVeg_nongrass,lowVeg_nongrass,,98
60,66,62,62,62,,,coastal strand / scrub,,,              coastal strand / scrub,,LowVeg,LowVeg_nongrass,lowVeg_nongrass,lowVeg_coastal,lowVeg_coastal,,98
60,66,69,69,69,,,invasive herbaceous vegetation,,,              invasive herbaceous vegetation,,LowVeg,LowVeg_nongrass,lowVeg_invasive,lowVeg_invasive,lowVeg_invasive,,98
60,66,64,64,64,,"herbaceous wetland (fen, bog, marsh)",,,,"        herbaceous wetland (fen, bog, marsh)",,LowVeg,LowVeg_wet,lowVeg_wet,lowVeg_wet,lowVeg_wet,,98
60,64,64,64,61,,,riparian herbacious vegetation,,,              riparian herbacious vegetation,"not much water present and not regularly flooded, but along stream or runoff channel",LowVeg,LowVeg_wet,LowVeg_wet,rip_low,rip_low,,98
60,64,64,64,65,,,freshwater grass marsh / wet prairie,,,               freshwater grass marsh / wet prairie,,LowVeg,LowVeg_wet,lowVeg_wet,lowVeg_wet,marsh_fresh,,98
60,64,64,64,63,,,salt marsh,,,                salt marsh,,LowVeg,LowVeg_wet,lowVeg_wet,lowVeg_wet,marsh_salt,,98
60,64,64,64,68,,,pond slough (mixed water / floating veg.),,,               pond slough (mixed water / floating veg.)," >50% floating veg (algae, hyacinth, etc.)",LowVeg,LowVeg_wet,LowVeg_wet,water_veg,water_veg,,98
60,67,67,67,67,,weedy growth / fallowed crop,,,,         weedy growth / fallowed crop,anthropogenic land use (e.g. crop) within last 3 yrs,LowVeg,LowVeg_regrowth,lowVeg_nongrass,fallow_weeds,fallow_weeds,,98
60,67,67,77,77,,, grass dominated secondary succession,,,                      grass dominated secondary succession,has been cropland or other anthropogenic land use within last 10 years,LowVeg,Grass,grass_mod,fallow_grass,fallow_grass,,98
60,67,67,77,82,,,,abandoned or wild sugarcane,,                     abandoned or wild sugarcane,(e.g. Saccharum spontaneum),LowVeg,Grass,grass_mod,fallow_grass,abandoned sugarcae,,98
60,70,70,70,70,,grass,,,,         grass,"grass,  <30% tree cover -- unknown if planted or natural",LowVeg,Grass,grass_any,grass_any,grass_any,,98
60,70,73,73,73,,,sports field / golf course / irrigated lawn,,,              sports field / golf course / irrigated lawn,,LowVeg,Grass,grass_built,grass_built,grass_built,,98
60,70,64,74,74,,,seasonally flooded grassland,,,              seasonally flooded grassland,natural grassland that is flooded at some point in year,LowVeg,Grass,grass_flooded,grass_flooded,grass_wet,,98
60,70,75,75,75,,,natural/ minimally altered grass,,,              natural/ minimally altered grass,,LowVeg,Grass,grass_nat,grass_nat_any,grass_nat_any,,98
60,70,75,75,76,,,,"natural primary grassland, steppe / prairie, etc.",,"                     natural grassland, steppe","few trees, no/minimal livestock grazing - (may be grazed by wild animals)",LowVeg,Grass,grass_nat,grassland,grassland,,98
60,70,75,75,78,,,,natural savanna,,                     natural savanna,"up to 30% trees, no/minimal livestock grazing",LowVeg,Grass,grass_nat,savanna,savanna,,98
60,70,75,80,80,,,managed pasture or commonly used rangeland,,,             managed pasture or commonly used rangeland,pasture with notable grazing or signs of maintenance. <30% tree cover,LowVeg,Grass,grass_any,pasture,pasture_any,,98
60,70,75,80,81,,,,sustainably grazed natural grassland,,                     sustainably grazed natural grassland,,LowVeg,Grass,grass_nat,pasture,pasture_sustain,,98
60,70,75,80,88,,,,temporarily rested pasture,,                     temporarily rested pasture,"No active management visible. Signs of active grazing in other years, but not current year. ",LowVeg,Grass,grass_nat,pasture,pasture_resting,,98
60,70,85,85,85,,,new or heavily modified grassland,,,,,LowVeg,Grass,grass_mod,grass_mod,grass_mod,,98
60,70,85,80,83,,,,heavily used pasture,,                    heavily used pasture,"very visible signs of grazing, includes enclosures with livestock frequently visible",LowVeg,Grass,grass_mod,pasture,pasture_highuse,,98
60,70,85,80,84,,,,planted / fertilized pasture,,                     planted / fertilized pasture,grass with infrastructure or structural/phylogenetic patterns that indicate it has been planted,LowVeg,Grass,grass_mod,pasture,pasture_plant,,98
60,70,85,80,87,,,,pasture with temporary  cover crop / hay,,                     temporary  cover crop / hay,cover crop grown for <3 months of year. Grass rest of year. Grazed within year,LowVeg,Grass,grass_mod,pasture,pasture_cover,,98
60,70,85,80,108,,,,intensive hay proudction,,                     intensive hay proudction,"may be grazed, but hay/fodder growing most of year",LowVeg,Grass,grass_mod,pasture,pasture_hay,,100
60,70,85,80,89,,,,invasive grass,,                     invasive grass,obstructing natural processes(e.g. elephant grass(Pennisetum purpureum)),LowVeg,Grass,grass_mod,grass_invasive,grass_invasive,,98
60,90,90,90,90,,mixed lowVeg,,,,          mixed lowVeg,> 30% each,LowVeg,LowVeg_mix,LowVeg_mix,LowVeg_mix,LowVeg_mix,,98
60,70,70,86,86,,,grass mixed with other low veg,,,        grass mixed with other low veg,"> 30% grass, >30% other low veg",LowVeg,LowVeg_grass_mix,lowVeg_grass_mix,lowVeg_grass_mix,lowVeg_grass_mix,,98
60,90,70,86,96,,,,grass edge,,            grass edge,">50% Grass, but mixed with other veg or shaded by trees. Can contain trees if grass-forest border (if grass and trees are intermixed, use Grass-tree mix)",LowVeg,LowVeg_mix,grass_edge,grass_edge,grass_edge,,98
60,90,100,93,93,,,crop edge,,,       crop edge,">50% LowCrop, but mixed with other veg or bare at edge of field",LowVeg,LowVeg_mix,crop_edge,crop_edge,crop_edge,,100
60,90,209,97,97,,,new orchard or tree plantation,,,       new orchard or tree plantation,Planted trees (tree plantation or orchard) <1 year,LowVeg,TreePlant,treeplant_new,treeplant_new,treeplant_new,,98
60,90,92,92,92,,,excessive moribund / fuel load,,,            excessive moribund / fuel load,,LowVeg,LowVeg_mix,fuel_load,fuel_load,fuel_load,,98
60,90,95,95,95,,,burned herbaceous vegetation,,,            burned herbaceous vegetation,,LowVeg,LowVeg_mix,char_low,char_low,burnt_low,,98
90,90,95,95,94,,,,wet / low severity burn,,                 wet / low severity burn,burning event occurs after first major rains of wet season,LowVeg,LowVeg_mix,char_low,char_low,burnt_low_min,,98
60,90,95,95,91,,,,fire break / controlled prescriptive burn,,                 fire break / controlled prescriptive burn,,LowVeg,LowVeg_mix,char_low,char_low,burnt_low_mgmt,,98
90,90,95,95,99,,,,"high severity, uncontrolled burn",,"                 high severity, uncontrolled burn",,LowVeg,LowVeg_mix,char_low,char_low,burnt_low_max,,98
98,98,98,98,98,,not crop,,,,         not crop,for simple data checking exercises where only crop/noCrop is needed,NoCrop,NoCrop,NoCrop,NoCrop,NoCrop,,98
60,100,100,100,100,,crop,,,,          crop,any crop,LowVeg,Crop,crop_any,crop_any,crop_any,,100
60,100,101,101,101,,annual crop,,,,           annual crop,unknown annual crop,LowVeg,LowCrop,lowveg_crop,lowveg_crop,lowveg_crop,,100
60,100,101,104,104,,,Irrigated annual crop - general,,,                Irrigated annual crop - general,"if crop known, use crop type",LowVeg,LowCrop,crop_irrigated,crop_irrigated,crop_irrigated,,100
60,100,101,105,105,,,Cereal - general,,,                cereal - general,,LowVeg,LowCrop,crop_cereal,crop_cereal_any,crop_cereal_any,,100
